detector,descriptor,image_id,n_keypoint,n_match,t_detector,t_descriptor
HARRIS,BRIEF,0,17,0,12.170158,0.176417
HARRIS,BRIEF,1,14,14,11.607071,0.695023
HARRIS,BRIEF,2,18,11,11.339097,0.637763
HARRIS,BRIEF,3,21,15,11.060218,0.640279
HARRIS,BRIEF,4,26,20,11.428166,0.644177
HARRIS,BRIEF,5,43,24,21.425533,0.706957
HARRIS,BRIEF,6,18,26,10.974385,0.631321
HARRIS,BRIEF,7,31,16,12.299371,0.666538
HARRIS,BRIEF,8,26,24,11.571549,0.643721
HARRIS,BRIEF,9,34,23,14.350249,0.676766
FAST,BRIEF,0,149,0,1.002675,0.496007
FAST,BRIEF,1,152,119,0.967805,0.509274
FAST,BRIEF,2,150,130,0.961933,0.629788
FAST,BRIEF,3,155,118,0.962040,0.541239
FAST,BRIEF,4,149,126,0.958894,0.469669
FAST,BRIEF,5,149,108,0.953948,0.482313
FAST,BRIEF,6,156,123,0.963919,0.471679
FAST,BRIEF,7,150,131,0.967438,0.482102
FAST,BRIEF,8,138,125,0.971520,0.449457
FAST,BRIEF,9,143,119,0.960964,0.444990
BRISK,BRIEF,0,264,0,33.813531,0.717023
BRISK,BRIEF,1,282,178,31.660511,0.763405
BRISK,BRIEF,2,282,205,31.558529,0.733526
BRISK,BRIEF,3,277,185,31.213125,0.728456
BRISK,BRIEF,4,297,180,31.343699,0.771382
BRISK,BRIEF,5,279,182,31.383898,0.755759
BRISK,BRIEF,6,289,196,31.450671,1.042966
BRISK,BRIEF,7,272,206,31.287533,0.820243
BRISK,BRIEF,8,267,189,34.235111,0.721222
BRISK,BRIEF,9,254,183,30.818736,0.688753
ORB,BRIEF,0,92,0,153.699568,0.367600
ORB,BRIEF,1,102,49,6.411480,0.403746
ORB,BRIEF,2,106,43,5.732735,0.346505
ORB,BRIEF,3,113,45,5.509539,0.357254
ORB,BRIEF,4,109,59,5.478281,0.396438
ORB,BRIEF,5,125,53,5.534806,0.381243
ORB,BRIEF,6,130,78,5.558616,0.436204
ORB,BRIEF,7,129,68,5.960903,0.479397
ORB,BRIEF,8,127,84,5.513964,0.382438
ORB,BRIEF,9,128,66,5.502670,0.386395
AKAZE,BRIEF,0,166,0,50.843532,0.584417
AKAZE,BRIEF,1,157,141,40.424201,0.525099
AKAZE,BRIEF,2,161,134,41.871774,0.963972
AKAZE,BRIEF,3,155,131,47.416540,0.941568
AKAZE,BRIEF,4,163,130,43.520141,0.573430
AKAZE,BRIEF,5,164,134,45.425421,0.966702
AKAZE,BRIEF,6,173,146,45.571709,0.977387
AKAZE,BRIEF,7,175,150,43.391844,0.560016
AKAZE,BRIEF,8,177,148,42.662613,0.563698
AKAZE,BRIEF,9,179,152,41.818732,0.996319
SIFT,BRIEF,0,138,0,84.789064,0.483806
SIFT,BRIEF,1,132,86,79.069197,0.465482
SIFT,BRIEF,2,124,78,83.397728,0.445301
SIFT,BRIEF,3,137,76,80.024502,0.475826
SIFT,BRIEF,4,134,85,80.878105,0.501108
SIFT,BRIEF,5,140,69,81.364580,0.499462
SIFT,BRIEF,6,137,74,80.826958,0.474000
SIFT,BRIEF,7,148,76,81.356546,0.498147
SIFT,BRIEF,8,159,70,80.766122,0.516996
SIFT,BRIEF,9,137,88,80.153951,0.481676
HARRIS,ORB,0,17,0,12.095375,0.319676
HARRIS,ORB,1,14,12,8.372454,0.294476
HARRIS,ORB,2,18,10,8.952083,0.321662
HARRIS,ORB,3,21,14,8.527506,0.346361
HARRIS,ORB,4,26,15,8.862404,0.386152
HARRIS,ORB,5,43,16,17.158827,0.530738
HARRIS,ORB,6,18,16,8.219501,0.314899
HARRIS,ORB,7,31,15,9.682149,0.421533
HARRIS,ORB,8,26,23,8.975618,0.376550
HARRIS,ORB,9,34,21,12.057523,0.460429
FAST,ORB,0,149,0,0.978869,1.282138
FAST,ORB,1,152,97,0.970640,1.309541
FAST,ORB,2,150,104,0.968321,1.286053
FAST,ORB,3,155,101,0.961777,1.329576
FAST,ORB,4,149,98,0.962652,1.291297
FAST,ORB,5,149,85,0.956804,1.290157
FAST,ORB,6,156,107,0.958357,1.338055
FAST,ORB,7,150,107,0.956282,1.317555
FAST,ORB,8,138,100,0.970127,1.296826
FAST,ORB,9,143,100,0.972842,1.315516
BRISK,ORB,0,264,0,31.612018,2.201318
BRISK,ORB,1,282,171,31.232690,2.341821
BRISK,ORB,2,282,176,31.299814,2.413883
BRISK,ORB,3,277,157,32.035497,2.301386
BRISK,ORB,4,297,176,30.789498,2.458253
BRISK,ORB,5,279,174,31.301435,2.392694
BRISK,ORB,6,289,187,31.790828,2.453381
BRISK,ORB,7,272,173,30.284446,2.306005
BRISK,ORB,8,267,172,31.781143,2.234042
BRISK,ORB,9,254,184,32.728314,2.560077
ORB,ORB,0,92,0,6.381493,0.915050
ORB,ORB,1,102,73,6.686128,0.984463
ORB,ORB,2,106,74,5.485862,1.334717
ORB,ORB,3,113,79,7.487237,1.054459
ORB,ORB,4,109,85,7.631159,1.050620
ORB,ORB,5,125,79,5.518794,1.238576
ORB,ORB,6,130,92,5.602285,1.159369
ORB,ORB,7,129,90,5.932468,1.188050
ORB,ORB,8,127,88,5.858897,1.155034
ORB,ORB,9,128,91,5.521815,1.185944
AKAZE,ORB,0,166,0,41.635045,1.438172
AKAZE,ORB,1,157,137,39.096994,1.379184
AKAZE,ORB,2,161,125,41.128375,1.438664
AKAZE,ORB,3,155,129,42.998325,1.642383
AKAZE,ORB,4,163,129,41.066972,1.398225
AKAZE,ORB,5,164,131,39.596154,1.402218
AKAZE,ORB,6,173,132,39.538643,1.465661
AKAZE,ORB,7,175,142,41.598516,1.472372
AKAZE,ORB,8,177,146,42.008937,1.529170
AKAZE,ORB,9,179,144,37.373044,1.514905
SIFT,ORB,0,138,0,83.453782,1.193582
SIFT,ORB,1,132,64,79.221964,1.183699
SIFT,ORB,2,124,66,81.274382,1.127789
SIFT,ORB,3,137,62,79.695872,1.183503
SIFT,ORB,4,134,66,77.768715,1.171237
SIFT,ORB,5,140,59,77.644126,1.217437
SIFT,ORB,6,137,64,79.400198,1.197697
SIFT,ORB,7,148,64,78.735544,1.307754
SIFT,ORB,8,159,67,79.768842,1.448679
SIFT,ORB,9,137,80,80.952298,1.171985
HARRIS,FREAK,0,17,0,9.432729,25.015619
HARRIS,FREAK,1,14,13,10.141151,24.471467
HARRIS,FREAK,2,18,13,8.582977,24.401648
HARRIS,FREAK,3,21,15,8.515535,24.921039
HARRIS,FREAK,4,26,15,9.483358,25.420673
HARRIS,FREAK,5,43,17,17.631640,24.199562
HARRIS,FREAK,6,18,20,8.314024,25.030955
HARRIS,FREAK,7,31,14,9.753777,24.607901
HARRIS,FREAK,8,26,21,9.305883,24.317527
HARRIS,FREAK,9,34,18,11.947643,24.198949
FAST,FREAK,0,149,0,0.975990,25.504958
FAST,FREAK,1,152,97,0.965323,25.223041
FAST,FREAK,2,150,98,0.963051,24.716468
FAST,FREAK,3,155,94,0.961887,24.970167
FAST,FREAK,4,149,99,0.960420,25.360310
FAST,FREAK,5,149,88,0.953672,25.238479
FAST,FREAK,6,156,99,0.960001,24.927555
FAST,FREAK,7,150,104,0.952234,24.618192
FAST,FREAK,8,138,99,0.963816,25.077844
FAST,FREAK,9,143,103,0.965538,24.819603
BRISK,FREAK,0,264,0,31.443827,24.945938
BRISK,FREAK,1,282,160,31.726090,25.490039
BRISK,FREAK,2,282,178,31.384487,25.235895
BRISK,FREAK,3,277,156,31.074336,25.094249
BRISK,FREAK,4,297,173,31.645868,26.472735
BRISK,FREAK,5,279,161,32.814359,25.368813
BRISK,FREAK,6,289,183,31.660162,25.657695
BRISK,FREAK,7,272,169,30.841865,25.238157
BRISK,FREAK,8,267,179,31.908200,25.153944
BRISK,FREAK,9,254,167,30.903158,24.887081
ORB,FREAK,0,92,0,5.672859,26.089492
